app,service,condition,packet_lengths,iat_values,directions,rtt_ms,jitter_ms,loss_rate,total packets,total fwd packets,total backward packets,packet length mean,packet length std,flow iat mean,flow iat std,flow duration,flow bytes/s,flow packets/s,protocol
mawi_background,unknown,good,54.00,0.0000,1,0.0,0.0,0.0,1,1,0,54.0,0.0,0.0,0.0,0.0,54000.0,1000.0,6
mawi_background,unknown,good,58.00,0.0000,-1,0.0,0.0,0.0,1,0,1,58.0,0.0,0.0,0.0,0.0,58000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,-1,0.0,0.0,0.0,1,0,1,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,58.00,0.0000,-1,0.0,0.0,0.0,1,0,1,58.0,0.0,0.0,0.0,0.0,58000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,-1,0.0,0.0,0.0,1,0,1,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,1,0.0,0.0,0.0,1,1,0,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,58.00,0.0000,1,0.0,0.0,0.0,1,1,0,58.0,0.0,0.0,0.0,0.0,58000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,1,0.0,0.0,0.0,1,1,0,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,58.00,0.0000,-1,0.0,0.0,0.0,1,0,1,58.0,0.0,0.0,0.0,0.0,58000.0,1000.0,6
mawi_background,unknown,moderate,66.00;78.00;66.00;74.00;66.00;82.00;66.00,0.0000;3.0661;264.9429;5.2271;264.9510;0.1550;264.8489,1;1;1;1;1;1;1,114.74156379699708,130.0637681308289,0.0,7,7,0,71.14285714285714,6.311634866964152,114.74156379699708,130.0637681308289,803.1909465789795,620.0269090695367,8.71523767768425,6
mawi_background,unknown,good,54.00,0.0000,1,0.0,0.0,0.0,1,1,0,54.0,0.0,0.0,0.0,0.0,54000.0,1000.0,6
mawi_background,unknown,good,58.00,0.0000,-1,0.0,0.0,0.0,1,0,1,58.0,0.0,0.0,0.0,0.0,58000.0,1000.0,6
mawi_background,unknown,good,118.00;909.00,0.0000;4.4780,-1;1,2.2389888763427734,2.2389888763427734,0.0,2,1,1,513.5,395.5,2.2389888763427734,2.2389888763427734,4.477977752685547,229344.59631562137,446.63017782983707,17
mawi_background,unknown,good,74.00,0.0000,1,0.0,0.0,0.0,1,1,0,74.0,0.0,0.0,0.0,0.0,74000.0,1000.0,6
mawi_background,unknown,good,54.00,0.0000,-1,0.0,0.0,0.0,1,0,1,54.0,0.0,0.0,0.0,0.0,54000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,1,0.0,0.0,0.0,1,1,0,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,54.00,0.0000,1,0.0,0.0,0.0,1,1,0,54.0,0.0,0.0,0.0,0.0,54000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,1,0.0,0.0,0.0,1,1,0,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,638.00,0.0000,-1,0.0,0.0,0.0,1,0,1,638.0,0.0,0.0,0.0,0.0,638000.0,1000.0,6
mawi_background,unknown,good,58.00,0.0000,1,0.0,0.0,0.0,1,1,0,58.0,0.0,0.0,0.0,0.0,58000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,1,0.0,0.0,0.0,1,1,0,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,1438.00,0.0000,1,0.0,0.0,0.0,1,1,0,1438.0,0.0,0.0,0.0,0.0,1438000.0,1000.0,17
mawi_background,unknown,good,54.00,0.0000,1,0.0,0.0,0.0,1,1,0,54.0,0.0,0.0,0.0,0.0,54000.0,1000.0,6
mawi_background,unknown,good,54.00,0.0000,1,0.0,0.0,0.0,1,1,0,54.0,0.0,0.0,0.0,0.0,54000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,-1,0.0,0.0,0.0,1,0,1,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,-1,0.0,0.0,0.0,1,0,1,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,66.00,0.0000,-1,0.0,0.0,0.0,1,0,1,66.0,0.0,0.0,0.0,0.0,66000.0,1000.0,6
mawi_background,unknown,good,58.00,0.0000,1,0.0,0.0,0.0,1,1,0,58.0,0.0,0.0,0.0,0.0,58000.0,1000.0,6
